family	genus	species
Abrocomidae	1	2
Acrobatidae	2	2
Ailuridae	1	1
Anomaluridae	2	9
Antilocapridae	1	1
Aotidae	1	17
Aplodontiidae	1	1
Atelidae	4	34
Balaenidae	2	4
Balaenopteridae	2	11
Bathyergidae	6	31
Bovidae	51	180
Bradypodidae	1	5
Burramyidae	2	5
Caenolestidae	3	6
Calomyscidae	1	6
Camelidae	4	9
Canidae	13	44
Capromyidae	2	2
Castoridae	1	2
Caviidae	5	19
Cebidae	7	59
Cercopithecidae	22	153
Cervidae	20	58
Cheirogaleidae	5	47
Chinchillidae	3	9
Chrysochloridae	10	19
Craseonycteridae	1	1
Cricetidae	131	694
Ctenodactylidae	2	3
Ctenomyidae	2	70
Cuniculidae	1	2
Cyclopedidae	1	1
Cynocephalidae	2	3
Dasypodidae	9	13
Dasyproctidae	2	6
Dasyuridae	21	79
Daubentoniidae	1	1
Delphinidae	17	78
Didelphidae	18	100
Dinomyidae	1	1
Dipodidae	15	36
Dugongidae	2	2
Echimyidae	15	79
Elephantidae	4	11
Emballonuridae	13	51
Equidae	2	92
Erethizontidae	3	16
Erinaceidae	10	20
Eschrichtiidae	1	1
Eupleridae	7	8
Felidae	19	45
Furipteridae	1	1
Galagidae	4	17
Geomyidae	6	52
Giraffidae	2	2
Gliridae	7	17
Herpestidae	13	30
Heteromyidae	6	63
Hippopotamidae	2	2
Hominidae	4	10
Hyaenidae	4	4
Hydrochaeridae	1	1
Hylobatidae	4	22
Hystricidae	3	7
Indriidae	5	18
Iniidae	1	3
Laonastidae	1	1
Lemuridae	5	22
Lepilemuridae	2	29
Leporidae	11	66
Lipotidae	1	1
Lorisidae	4	12
Macropodidae	11	60
Macroscelididae	4	28
Manidae	1	14
Megadermatidae	3	4
Megalonychidae	1	3
Megatheriidae	1	1
Mephitidae	4	10
Microbiotheriidae	1	1
Molossidae	15	69
Monodontidae	2	2
Mormoopidae	2	11
Moschidae	1	13
Muridae	121	686
Mustelidae	22	61
Mylodontidae	1	1
Myocastoridae	1	1
Myrmecobiidae	1	1
Myrmecophagidae	2	3
Mystacinidae	1	1
Myzopodidae	1	2
Nandiniidae	1	1
Natalidae	3	9
Neobalaenidae	1	1
Nesomyidae	18	70
Noctilionidae	1	4
Notoryctidae	1	2
Nycteridae	1	7
Ochotonidae	1	34
Octodontidae	6	13
Odobenidae	1	1
Ornithorhynchidae	1	1
Orycteropodidae	1	1
Otariidae	7	16
Paleopropithecidae	1	3
Pedetidae	1	1
Peramelidae	4	9
Peroryctidae	4	11
Petauridae	3	8
Petromuridae	1	1
Phalangeridae	6	18
Phascolarctidae	1	1
Phocidae	11	19
Phocoenidae	3	7
Phyllostomidae	53	195
Physeteridae	2	3
Pitheciidae	4	29
Platacanthomyidae	1	1
Platanistidae	1	3
Pontoporiidae	1	1
Potoroidae	5	11
Procaviidae	3	5
Procyonidae	6	18
Pseudocheiridae	6	14
Pteropodidae	43	150
Rhinocerotidae	5	6
Rhinolophidae	9	170
Rhinopomatidae	1	4
Sciuridae	57	216
Solenodontidae	1	2
Soricidae	24	313
Spalacidae	7	40
Suidae	6	23
Tachyglossidae	2	2
Talpidae	16	47
Tapiridae	1	8
Tarsiidae	1	10
Tarsipedidae	1	1
Tayassuidae	3	4
Tenrecidae	10	21
Thryonomyidae	1	2
Thylacinidae	1	1
Thyropteridae	1	3
Tragulidae	3	6
Trichechidae	1	3
Tupaiidae	5	28
Ursidae	6	16
Vespertilionidae	44	534
Viverridae	16	35
Vombatidae	2	3
Ziphiidae	6	24
